name	code	unused	asm	argc	pop	push	arg1	arg2	arg3	arg4	desc1	desc2	desc3	desc4	title	example	rexample	description
ADD.OP	44		TRUE	1	2	1	expridx				Stored expression				Add values	"# 1 + 2
LDCONST 1
LDCONST 2
ADD
RETURN"	x + y	
AND.OP	57		TRUE	1	2	1	expridx				Stored expression				Vector logical AND	"LDCONST c(TRUE, TRUE, FALSE, FALSE)
LDCONST c(FALSE, TRUE, FALSE, TRUE)
AND
RETURN"	x & y	
AND1ST.OP	88		TRUE	2	1	1	expridx	label			Stored expression	Location to jump to if first logical value is FALSE			Scalar logical AND (Part 1)	"# TRUE && FALSE
LDTRUE
AND1ST @label1
LDFALSE
AND2ND
@label1
RETURN"	x && y	"Scalar logical AND in R supports ""short-circuiting"" the operation i.e. if the first argument is FALSE, then the second argument is never evaluated.

The AND1ST instruction pops a value from the stack, and if FALSE jumps to the position specified in its label argument i.e. the position after the end of the trailing `AND2ND` statement.

Following the `AND1ST` instruction is the code for the right-hand side of the AND operation and which is concluded with an `AND2ND` statement."
AND2ND.OP	89		TRUE	1	1	1	expridx				Stored expression				Scalar logical AND (Part 2)	"LDTRUE
AND1ST @label1
LDFALSE
AND2ND
@label1
RETURN"	x && y	See the `AND1ST` instruction [Section -@sec-AND1ST]
BASEGUARD.OP	123		TRUE	2	0	0	expridx	label			Stored expression	Location to jump to if function is not valid			Guard execution of base R functions	"BASEGUARD @label1
GETBUILTIN list
PUSHCONSTARG 1
PUSHCONSTARG 2
CALLBUILTIN
@label1
RETURN"	list(a, b, c)	"Baseguard guards against the scenario that the the following function is not the default function builtin to R.

### Hypothesis

If the fetched function is not identical to the builtin (because there is a user-defined function of the same name that takes precedence), then the expression (at the *expridx*) is evaluated in the interpreter instead. "
BCMISMATCH.OP	0		TRUE	0	0	0									Raise error to indicate bytecode version mismatch			"Raises an error indicating the bytecode version does not match the current bytecode engine in R.

This error could happen if bytecode compiled on an old version of R is exectuted on a newer version.

The bytecode version is stored as the first integer in the compiled bytecode.

As of R v4.3.1, bytecode is at version 12."
BRIFNOT.OP	3		TRUE	2	1	0	expridx	label			Stored expression	Location to jump to if value popped off stack is FALSE			Branch if not TRUE	"LDFALSE
BRIFNOT @label1
LDCONST 1
RETURN
@label1
LDCONST 2
RETURN"	if (x > 5) print('hello')	"Note: There is no instruction for ""Branch if TRUE"""
CALL.OP	38		TRUE	1	0	1	expridx				Stored expression				Call function specified by GETFUN	"GETFUN print
PUSHCONSTARG ""hello""
CALL
RETURN"	runif(3)	The list of arguments (separate from the stack and the consts storage) is created by calls to `PUSHARG`, `PUSHCONSTARG` etc.
CALLBUILTIN.OP	39		TRUE	1	0	1	expridx				Stored expression				Call a builtin function	"GETBUILTIN list
PUSHCONSTARG 1
PUSHCONSTARG 2
CALLBUILTIN
RETURN"	c(a, b, c)	"The list of arguments (separate from the stack and the consts storage) is created by calls to `PUSHARG`, `PUSHCONSTARG` etc.

See Builtin Functions ([Section -@sec-builtinfunctions]) for background and a list of built-in functions."
CALLSPECIAL.OP	40		TRUE	1	0	1	asis				"Character string which parses to a valid expression calling a ""special"" function.

See [Section -@sec-specialfunctions] for more details. "				Call a special function	"CALLSPECIAL rep(1, 3)
RETURN"	rep(1, 3)	"See Special Functions ([Section -@sec-specialfunctions]) for background and a list of special functions.

Note that `CALLSPECIAL` takes a single argument that is the full expression of the function to be called including the arguments."
